meridian,health management associates,global payments
northrop grumman,kb home,lo jack
revlon,plexus,family dollar stores
state street,louisiana pacific,conns
bristol myers squibb,shaw communications,joyy
raytheon,texas industries,angies list
ambient,northern trust,intuitive surgical
one gas,franklin resources,edison nation
cabot,rockwell automation,reading international
phi,cys investments,resource america
ashford,baidu,eplus
etsy,supervalu,hillenbrand
viasat,aeropostale,akorn
virgin america,oracle,crumbs bake shop
galapagos,teradyne,destination maternity
aes,rpx,cosi
ihs,lennar,mastec
exar,comerica,bat group
stryker,nrg energy,almost family
office depot,cvr energy,livent
city holding,penske automotive group,site centers
lennar,chegg,aegon
hollywood media,johnson controls,lakeland industries
ansys,xilinx,motorola solutions
stein mart,first horizon national,1 800 flowers com
equifax,spx,build a bear workshop
visteon,stanley black & decker,9f
mastercard,ross stores,support com
metlife,trinity industries,shutterfly
century aluminum,church & dwight,advance auto parts
harmonic,honeywell international,f 5 networks
nucor,zynga,carmike cinemas
arctic cat,posco,summer infant
domo,nomura holdings,plum creek timber
invacare,toll brothers,intergroup
key technology,dr horton,extreme networks
skywest,canon,otonomy
profound medical,sandridge energy,ceres
blackstone group,matthews international,idex
churchill downs,new york community bancorp,ooma
washington federal,morningstar,equity one
hilton grand vacations,united microelectronics,amc networks
molina healthcare,prudential financial,omnicare
general mills,boise cascade,corinthian colleges
moog,alcatel lucent,steelcase
markel,linear technology,firstbank
intermec,pvh,fnb
questar,kimco realty,goldfield
canaan,briggs & stratton,csp
chipotle mexican grill,ennis,us gold
bankrate,carefusion,curtiss wright
lincoln national,colgate palmolive,xactly
adt,regeneron pharmaceuticals,incontact
elizabeth arden,bank of new york mellon,j jill
starz,hess,ducommun
first united,textron,alliance resource partners
griffon,kraft foods group,salesforce com
cerner,burger king worldwide,acadia healthcare
marathon petroleum,eastman chemical,extended stay america
peabody energy,american assets trust,exone
intuit,westwood holdings group,national beverage
tripadvisor,atlantic power,capital one financial
lifelock,davita,callaway golf
aar,fiserv,bruker
time warner cable,shaw group,century communities
gogo,skullcandy,newmarket
illinois tool works,sears canada,affiliated managers group
fortis,ventas,korn ferry
first bank,diamond foods,public storage
everyday health,molycorp,vera bradley
canopy growth,wpx energy,wet seal
general dynamics,colfax,video display
sina,netsuite,uranium energy
blackline,legg mason,pivotal software
market leader,polycom,twenty first century fox
morningstar,jabil,hostess brands
national healthcare,sanchez energy,life storage
dennys,cameron international,valspar
united states energy,marin software,us concrete
sandisk,compuware,hexo
trivago,stifel financial,cadiz
fortress biotech,marketo,orix
mustang bio,broadcom,opiant pharmaceuticals
plexus,rockwell collins,commercial metals
exponent,ashford hospitality trust,xylem
orbital sciences,independent bank,technical communications
csx,manitowoc,daktronics
z boy,immunogen,imv
time new,enbridge,park national
applied materials,nuance communications,bob evans farms
actua,cme group,atmel
albemarle,digital realty trust,arconic
penumbra,seattle genetics,darden restaurants
first solar,mdc holdings,cobra electronics
cisco systems,fmc,franchise group
buffalo wild wings,matson,e trade financial
conocophillips,sempra energy,nlight
nts,halcon resources,ally financial
anadarko petroleum,blue nile,kronos worldwide
communications systems,realogy holdings,aruba networks
actuate,chipotle mexican grill,sitime
care com,valvoline,synaptics
first financial,mizuho financial group,middleby
cray,tupperware brands,agria
dominion energy,walter energy,boston properties
carmax,weyerhaeuser,pier 1 imports
fresh market,weibo,diodes
