,gvkey,permno,ticker,names.firms,names.firms.1,regexes,done
1149,63538,83903,SNBC,SUN BANCORP INC/NJ,SUN BANCORP INC/NJ,SUN BANCORP,1
1150,12136,10078,JAVA,SUN MICROSYSTEMS INC,SUN MICROSYSTEMS,,1
1151,165051,90978,SPWR,SUNPOWER CORP,SUNPOWER,,1
1152,10187,68144,STI,SUNTRUST BANKS INC,SUNTRUST BANKS,,1
1153,176567,91907,SMCI,SUPER MICRO COMPUTER INC,SUPER MICRO COMPUTER,,1
1154,27913,79006,SCON,SUPERCONDUCTOR TECHNOLOGIES,SUPERCONDUCTOR TECH*,,1
1155,10198,47861,SGC,SUPERIOR GROUP OF COS INC,SUPERIOR GROUP OF,,1
1156,10195,52396,SUP,SUPERIOR INDUSTRIES INTL,SUPERIOR INDUSTRIES,,1
1157,10200,73681,SUPX,SUPERTEX INC,SUPERTEX,,1
1158,10190,44951,SVU,SUPERVALU INC,SUPERVALU,,1
1159,133825,88468,SPRT,SUPPORT.COM INC,SUPPORT.COM,SUPPORT\.?COM|SUPPORT DOT COM,1
1160,4156,63159,STS,SUPREME INDUSTRIES INC,SUPREME INDUSTRIES,,1
1161,9242,89142,SURW,SUREWEST COMMUNICATIONS,SUREWEST COMMUNICATIONS,,1
1162,25898,15795,SGRY,SURGERY PARTNERS INC,SURGERY PARTNERS,,1
1163,165702,91507,SUSS,SUSSER HOLDINGS CORP,SUSSER,,1
1164,10213,73817,STRN,SUTRON CORP,SUTRON,,1
1165,17120,11786,SIVB,SVB FINANCIAL GROUP,SVB FINANCIAL,,1
1166,176360,91830,SDXC,SWITCH & DATA FACILITIES CO,SWITCH & DATA FACILITIES,SWITCH AND DATA FACILITIES|SWITCH & DATA FACILITIES,1
1167,32469,16966,SWCH,SWITCH INC,SWITCH,SWITCH INC*,1
1168,125360,87343,SCMR,SYCAMORE NETWORKS INC,SYCAMORE NETWORKS,,1
1169,9715,70616,SYMM,SYMMETRICOM INC,SYMMETRICOM,,1
1170,20686,14776,SYF,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,,1
1171,24975,77357,SNPS,SYNOPSYS INC,SYNOPSYS,,1
1172,13013,11132,SYNO,SYNOVIS LIFE TECH INC,SYNOVIS LIFE TECH,,1
1173,13041,20053,SNV,SYNOVUS FINANCIAL CORP,SYNOVUS FINANCIAL,,1
1174,65270,85319,SYNT,SYNTEL INC,SYNTEL,,1
1175,165124,91967,SYUT,SYNUTRA INTERNATIONAL INC,SYNUTRA INTERNATIONAL,,1
